heading,image
"Optional RSP Combo: Removable aft flip seats and 2 cup holders","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-ComboRSP-22102024-093132.jpg&Size=52&UILanguageID=EN"""
"2 fishing seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2fishingseats-22102024-093221.jpg&Size=52&UILanguageID=EN"""
"Anchor storage compartment","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-AnchorStorage-22102018-144251.jpg&Size=52&UILanguageID=EN"""
"Battery storage compartment","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-22102018-144447.jpg&Size=52&UILanguageID=EN"""
"Bow raised fishing platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontFishingPlatform-22102018-144653.jpg&Size=52&UILanguageID=EN"""
"Bow electric-filled aerated livewell (61 L / 16 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontLivewell2.jpg&Size=52&UILanguageID=EN"""
"Storage under bow raised fishing platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontStorage-22102018-145705.jpg&Size=52&UILanguageID=EN"""
"Portable gas tank","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GasTank.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with Humminbird® Helix 5 on RAM bracket and optional gauges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Helm-OPTsonarandanaloggauges-.jpg&Size=52&UILanguageID=EN"""
"Storage under bow casting platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-UnderBowPlatformStorage.jpg&Size=52&UILanguageID=EN"""
