heading,image
"Mât de remorquage amovible, offert en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=optskipylon.jpg&Size=52&UILanguageID=FR"""
"Plate-forme de baignade optionnelle, côté conducteur","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=optSwimplatform.jpg&Size=52&UILanguageID=FR"""
"3 bases de sièges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=3stdfishingseats-12102023-151106.jpg&Size=52&UILanguageID=FR"""
"Zone de la proue","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=bowarea-12102023-151707.jpg&Size=52&UILanguageID=FR"""
"Portes-verres avec port USB","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=cupholderswithUSB-12102023-152119.jpg&Size=52&UILanguageID=FR"""
"Console conducteur démontrée avec l'écran Simrad® NSX7 optionnel","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=driverhelm-12102023-152451.jpg&Size=52&UILanguageID=FR"""
"Table à goûter noire repliable sur poteau amovible avec porte-verres","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=fliptable-12102023-152625.jpg&Size=52&UILanguageID=FR"""
"Grand rangement de batterie à moteur électrique à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=largebowtrollingmotorbatterystorage-12102023-153101.jpg&Size=52&UILanguageID=FR"""
"Aménagement RL incluant module de siège multi-positions","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=RL-bedconfiguration--12102023-153637.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=Sternlivewell.jpg&Size=52&UILanguageID=FR"""
