heading,image
"Ensemble Concert offert en option, incluant les contrôles pour radio Jensen, klaxon, lumières d'accostage et prise usb","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-SwitchPanelConcertPackage.jpg&Size=52&UILanguageID=FR"""
"Centre de contrôle Mercury® affichant vitesse, chargement et plus standard avec les moteurs électriques Avator® ","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-AvatorControlMonitor.jpg&Size=52&UILanguageID=FR"""
"Module de rangement à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-29102021-104222.jpg&Size=52&UILanguageID=FR"""
"Console rotomoulée avec ensemble Concert","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-ConsoleOPTConcertPackage.jpg&Size=52&UILanguageID=FR"""
"Siège conducteur pivotant repliable","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DriverSeat-29102021-104520.jpg&Size=52&UILanguageID=FR"""
"Chaise longue","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontBench.jpg&Size=52&UILanguageID=FR"""
"Rangement au plancher pour les batteries de propulsion","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-InfloorBatteryStorage.jpg&Size=52&UILanguageID=FR"""
"Échelle arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Ladder-29102021-104804.jpg&Size=52&UILanguageID=FR"""
"Rangement sous tous les fauteuils","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-StorageUnderBenches.jpg&Size=52&UILanguageID=FR"""
"Rangement sous la console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-StorageUnderConsole-29102021-102738.jpg&Size=52&UILanguageID=FR"""
